explanation_id,prompt_id,topic,source_type,source_name,source_url,model_name,generation_prompt,explanation_text,word_count,annotation_status,second_annotation_status,physics_flag,notes
H_E03_1,E03,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/18-7-conductors-and-electric-fields-in-static-equilibrium,,,"A spark happens when excess electric charge builds up and creates a strong electric field across a small gap of air. Air is normally an insulator, but if the electric field becomes strong enough, it can ionize the air molecules. This strips electrons from atoms and makes the air temporarily conductive. The stored charge then suddenly rushes across the gap as a brief electric current, producing a spark, a flash of light, and a snapping sound. Static electricity from walking on carpet often causes this effect. Lightning is the same basic process, but on a much larger scale in the atmosphere.",101,done,,OK,human benchmark
H_E04_1,E04,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/22-3-magnetic-fields-and-magnetic-field-lines,,,"A compass needle is a small bar magnet that can rotate freely. Earth behaves like a giant magnet and produces a magnetic field around the planet. When the compass is placed in this field, the needle experiences a torque that causes it to rotate. The needle aligns itself with the magnetic field lines because that is the most stable orientation. This makes the needle point roughly north-south. The compass works because magnetic fields exert forces and torques on other magnets. That simple interaction makes the compass a reliable tool for navigation.",91,done,,OK,human benchmark
H_E05_1,E05,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/13-1-faradays-law,,,"A changing magnetic field through a wire loop changes the magnetic flux through the loop. Faraday’s law says that a changing magnetic flux induces an electromotive force, which is like a voltage around the loop. If the loop is made of conducting wire, this induced voltage drives a current. A steady magnetic field, even a strong one, does not create current by itself. Only change matters. This principle is used in electric generators, transformers, induction stoves, and wireless chargers. Changing magnetic fields are one of the main ways electricity can be produced without direct contact.",95,done,,OK,human benchmark
H_E06_1,E06,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/physics/pages/19-2-series-circuits,,,"In a series circuit, there is only one path for electric charge to flow. Current is the amount of charge passing a point each second. Because charge is conserved, the same amount of charge must pass every point in the circuit in the same amount of time. If current were different in different parts of the circuit, charge would have to build up somewhere, which does not happen in a steady circuit. This is why the current is the same through every component in a series circuit, even though the voltage may change across different parts.",96,done,,OK,human benchmark
H_E07_1,E07,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/21-3-kirchhoffs-rules,,,"Voltage is electric potential energy per unit charge. As current moves through a resistor, bulb, or motor, some of that electrical energy is converted into other forms such as heat, light, or motion. That means the charge leaves the component with less energy than it had before, so the voltage drops across the component. In a complete loop, energy is conserved: the total energy supplied by the battery equals the total energy used by all the components. This is why the voltage drops across each part of a circuit add up to the battery’s total voltage.",96,done,,OK,human benchmark
H_E08_1,E08,Electricity & Magnetism,human,OpenStax,https://openstax.org/books/university-physics-volume-2/pages/5-2-conductors-insulators-and-charging-by-induction,,,"Two neutral objects can still attract electrically because charges inside them can shift. A nearby charged object causes the positive and negative charges in a neutral object to rearrange slightly, a process called polarization. The side closer to the charged object becomes slightly opposite in charge, while the far side becomes slightly like-charged. Because electric force gets weaker with distance, the closer attractive force is stronger than the farther repulsive force. This creates a net attraction even though the object is still overall neutral. This is why a charged balloon can stick to a wall.",95,done,,OK,human benchmark
H_T01_1,T01,Energy / Work / Thermo,human,OpenStax,https://openstax.org/books/university-physics-volume-1/pages/7-1-work,,,"Work in physics is defined as force times displacement times the cosine of the angle between them. Work measures how much a force transfers energy in the direction of motion. If the force is perpendicular to the displacement, the angle is 90 degrees and the cosine is zero. That means no energy is transferred in the direction the object moves, so the work is zero. For example, gravity does no work on a bag carried horizontally because gravity acts downward while the bag moves sideways. A force can act on an object without doing work if it does not help move it along its path.",105,done,done,OK,human benchmark
H_T02_1,T02,Energy / Work / Thermo,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/14-1-heat,,,"Rubbing your hands together creates friction between your skin surfaces. The mechanical work you do against friction is converted into thermal energy. On a microscopic level, friction increases the random motion of molecules in your skin, which raises the temperature. Your nerves detect this increase as warmth. This is a common example of mechanical energy turning into heat. The same principle explains why brakes get hot, why a drill bit heats up, and why sliding objects can warm up due to friction. Energy is not lost; it is simply transformed into a different form.",94,done,,OK,human benchmark
H_T03_1,T03,Energy / Work / Thermo,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/13-4-kinetic-theory-atomic-and-molecular-explanation-of-pressure-and-temperature,,,"Temperature is related to the average kinetic energy of gas molecules. When a sealed container is heated, the gas molecules move faster on average. Faster molecules hit the walls more often and with greater force. Since the volume of the container stays fixed, the gas cannot expand to relieve the extra motion. As a result, the pressure rises. This relationship is part of the ideal gas law and explains everyday effects like rising tire pressure after driving or the danger of heating sealed aerosol cans. More energetic molecular collisions directly create higher pressure.",93,done,,OK,human benchmark
H_T04_1,T04,Energy / Work / Thermo,human,OpenStax,https://openstax.org/books/college-physics-2e/pages/14-1-heat,,,"A hot drink cools faster at first because the temperature difference between the drink and the surrounding air is largest initially. Heat transfer happens more quickly when this temperature difference is large. As the drink cools, the difference becomes smaller, so heat flows out more slowly. This is described by Newton’s law of cooling, which says the rate of heat loss is proportional to the temperature difference. That is why the temperature drops quickly at first and then levels off more gradually as the drink approaches room temperature.",88,done,,OK,human benchmark
AI_M01_1,M01,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction. Even if the speed stays the same, the direction is constantly changing as the object moves around the circle. At every instant, the object’s velocity points in a slightly new direction. That change in direction requires an inward acceleration called centripetal acceleration. Without it, the object would move in a straight line instead. For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",99,done,done,,paste ChatGPT explanation here
AI_M01_2,M01,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction. Even if the speed stays the same, the direction is constantly changing as the object moves around the circle. At every instant, the object’s velocity points in a slightly new direction. That change in direction requires an inward acceleration called centripetal acceleration. Without it, the object would move in a straight line instead. For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",99,done,done,,paste Claude explanation here
AI_M02_1,M02,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally. A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more. These two effects balance out. Newton’s second law says acceleration equals force divided by mass. Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects. That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",101,done,done,,paste ChatGPT explanation here
AI_M02_2,M02,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally. A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more. These two effects balance out. Newton’s second law says acceleration equals force divided by mass. Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects. That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",101,done,done,,paste Claude explanation here
AI_M03_1,M03,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A passenger feels pushed backward when a car suddenly accelerates forward because of inertia, the tendency of objects to resist changes in motion. Before the car moves, both the passenger and the car are at rest. When the car speeds up, the seat pushes the passenger forward to make them move with the car. But the passenger’s body initially wants to stay where it was. This makes it feel like they are being pushed backward into the seat. In reality, the seat is pushing them forward. The backward feeling is just the sensation of their body resisting the car’s sudden change in speed.",103,done,,,paste ChatGPT explanation here
AI_M03_2,M03,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A passenger feels pushed backward when a car suddenly accelerates forward because of inertia, the tendency of objects to resist changes in motion. Before the car moves, both the passenger and the car are at rest. When the car speeds up, the seat pushes the passenger forward to make them move with the car. But the passenger’s body initially wants to stay where it was. This makes it feel like they are being pushed backward into the seat. In reality, the seat is pushing them forward. The backward feeling is just the sensation of their body resisting the car’s sudden change in speed.",103,done,,,paste Claude explanation here
AI_M04_1,M04,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A seatbelt reduces injury during a sudden stop by increasing the time over which your body comes to rest. Without a seatbelt, your body would keep moving forward at the car’s original speed because of inertia, possibly hitting the dashboard or windshield. A seatbelt applies a restraining force that slows you down more gradually. Since force depends on how quickly momentum changes, spreading the stop over a longer time reduces the force on your body. Seatbelts also keep you in the proper position so airbags can work effectively. They prevent you from being thrown forward, which greatly lowers the chance of serious injury.",103,done,,,paste ChatGPT explanation here
AI_M04_2,M04,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A seatbelt reduces injury during a sudden stop by increasing the time over which your body comes to rest. Without a seatbelt, your body would keep moving forward at the car’s original speed because of inertia, possibly hitting the dashboard or windshield. A seatbelt applies a restraining force that slows you down more gradually. Since force depends on how quickly momentum changes, spreading the stop over a longer time reduces the force on your body. Seatbelts also keep you in the proper position so airbags can work effectively. They prevent you from being thrown forward, which greatly lowers the chance of serious injury.",103,done,,,paste Claude explanation here
AI_M05_1,M05,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","It is harder to stop a truck than a bicycle moving at the same speed because the truck has much more mass and therefore much more momentum. Momentum is the product of mass and velocity. Since both are moving at the same speed, the truck’s larger mass means it carries far more momentum. To stop it, a larger force or more stopping time is needed. The truck also has greater kinetic energy, which must be removed by brakes and friction. That is why trucks need longer stopping distances and stronger braking systems than bicycles, even when traveling at the same speed.",101,done,,,paste ChatGPT explanation here
AI_M05_2,M05,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","It is harder to stop a truck than a bicycle moving at the same speed because the truck has much more mass and therefore much more momentum. Momentum is the product of mass and velocity. Since both are moving at the same speed, the truck’s larger mass means it carries far more momentum. To stop it, a larger force or more stopping time is needed. The truck also has greater kinetic energy, which must be removed by brakes and friction. That is why trucks need longer stopping distances and stronger braking systems than bicycles, even when traveling at the same speed.",101,done,,,paste Claude explanation here
AI_M06_1,M06,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A person standing still on ice can still exert a force on the surface because force does not require motion. Even when standing still, the person’s weight pulls downward due to gravity. This downward force pushes on the ice. According to Newton’s third law, the ice pushes back upward with an equal and opposite force called the normal force. These forces balance, so the person remains at rest. The fact that nothing moves does not mean no forces are present. It only means the forces are balanced. Standing still is actually a situation where forces are acting but canceling out.",100,done,,,paste ChatGPT explanation here
AI_M06_2,M06,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A person standing still on ice can still exert a force on the surface because force does not require motion. Even when standing still, the person’s weight pulls downward due to gravity. This downward force pushes on the ice. According to Newton’s third law, the ice pushes back upward with an equal and opposite force called the normal force. These forces balance, so the person remains at rest. The fact that nothing moves does not mean no forces are present. It only means the forces are balanced. Standing still is actually a situation where forces are acting but canceling out.",100,done,,,paste Claude explanation here
AI_M07_1,M07,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Friction can help motion because it provides the grip needed to push against a surface. Although friction often opposes sliding, it also prevents unwanted slipping. For example, when you walk, your foot pushes backward on the ground. Static friction from the ground then pushes you forward. Without friction, your foot would slide and you could not move effectively. The same idea applies to car tires, which rely on friction to accelerate, turn, and brake. So friction is not always a force that slows things down. In many situations, it is essential for controlled movement and stability.",96,done,,,paste ChatGPT explanation here
AI_M07_2,M07,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Friction can help motion because it provides the grip needed to push against a surface. Although friction often opposes sliding, it also prevents unwanted slipping. For example, when you walk, your foot pushes backward on the ground. Static friction from the ground then pushes you forward. Without friction, your foot would slide and you could not move effectively. The same idea applies to car tires, which rely on friction to accelerate, turn, and brake. So friction is not always a force that slows things down. In many situations, it is essential for controlled movement and stability.",96,done,,,paste Claude explanation here
AI_M08_1,M08,Mechanics,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A rocket accelerates in space because it pushes mass out of its engines at high speed. According to Newton’s third law, when the rocket pushes exhaust gases backward, the gases push the rocket forward with an equal and opposite force. The rocket does not need air to push against. It only needs to eject mass. This is why rockets work in the vacuum of space. The force comes from the internal combustion and expulsion of fuel, not from interaction with the atmosphere. As long as the rocket continues throwing exhaust backward, it can keep accelerating forward.",96,done,,,paste ChatGPT explanation here
AI_M08_2,M08,Mechanics,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A rocket accelerates in space because it pushes mass out of its engines at high speed. According to Newton’s third law, when the rocket pushes exhaust gases backward, the gases push the rocket forward with an equal and opposite force. The rocket does not need air to push against. It only needs to eject mass. This is why rockets work in the vacuum of space. The force comes from the internal combustion and expulsion of fuel, not from interaction with the atmosphere. As long as the rocket continues throwing exhaust backward, it can keep accelerating forward.",96,done,,,paste Claude explanation here
AI_E01_1,E01,Electricity & Magnetism,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material. A battery provides a voltage, which acts like a push that drives charges. Current is the rate of charge flow. According to Ohm’s law, current equals voltage divided by resistance. If voltage stays the same and resistance increases, current must decrease. Resistance causes charges to collide more often with atoms in the material, which slows their overall motion. That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",99,done,done,,paste ChatGPT explanation here
AI_E01_2,E01,Electricity & Magnetism,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material. A battery provides a voltage, which acts like a push that drives charges. Current is the rate of charge flow. According to Ohm’s law, current equals voltage divided by resistance. If voltage stays the same and resistance increases, current must decrease. Resistance causes charges to collide more often with atoms in the material, which slows their overall motion. That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",99,done,done,,paste Claude explanation here
AI_E02_1,E02,Electricity & Magnetism,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A battery eventually runs out because its stored chemical energy is gradually converted into electrical energy. Inside the battery, chemical reactions separate charges and create a voltage difference between the terminals. When the circuit is closed, charges flow and the reactions continue. Over time, the chemicals that drive these reactions are used up or become less effective. As this happens, the battery can no longer maintain the same voltage, so current decreases. A closed circuit allows energy transfer, but it does not mean energy is endlessly recycled. The battery is the energy source, and that source is limited.",98,done,,,paste ChatGPT explanation here
AI_E02_2,E02,Electricity & Magnetism,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A battery eventually runs out because its stored chemical energy is gradually converted into electrical energy. Inside the battery, chemical reactions separate charges and create a voltage difference between the terminals. When the circuit is closed, charges flow and the reactions continue. Over time, the chemicals that drive these reactions are used up or become less effective. As this happens, the battery can no longer maintain the same voltage, so current decreases. A closed circuit allows energy transfer, but it does not mean energy is endlessly recycled. The battery is the energy source, and that source is limited.",98,done,,,paste Claude explanation here
AI_E03_1,E03,Electricity & Magnetism,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Touching a charged object sometimes produces a spark because electric charge can suddenly jump through the air. If there is a large enough voltage difference between your body and the object, electrons move quickly to balance the charges. Normally, air acts as an insulator, but a strong electric field can ionize the air, allowing current to flow briefly. That rapid discharge creates light, heat, and the tiny crackling sound of a spark. Dry air makes this more common because charge builds up more easily. The spark is simply the fast release of stored electrical energy between two differently charged objects.",100,done,,,paste ChatGPT explanation here
AI_E03_2,E03,Electricity & Magnetism,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Touching a charged object sometimes produces a spark because electric charge can suddenly jump through the air. If there is a large enough voltage difference between your body and the object, electrons move quickly to balance the charges. Normally, air acts as an insulator, but a strong electric field can ionize the air, allowing current to flow briefly. That rapid discharge creates light, heat, and the tiny crackling sound of a spark. Dry air makes this more common because charge builds up more easily. The spark is simply the fast release of stored electrical energy between two differently charged objects.",100,done,,,paste Claude explanation here
AI_E04_1,E04,Electricity & Magnetism,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A compass needle aligns with Earth’s magnetic field because the needle is a small magnet. Magnets experience a torque in a magnetic field that causes them to rotate until they line up with the field direction. Earth acts like a giant magnet, producing a magnetic field that extends through space around it. When the compass is free to rotate, the magnetic forces on its poles make it settle in the north-south direction. The needle is not being pulled north by location alone. Instead, it is responding to the magnetic field at that point on Earth’s surface.",96,done,,,paste ChatGPT explanation here
AI_E04_2,E04,Electricity & Magnetism,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A compass needle aligns with Earth’s magnetic field because the needle is a small magnet. Magnets experience a torque in a magnetic field that causes them to rotate until they line up with the field direction. Earth acts like a giant magnet, producing a magnetic field that extends through space around it. When the compass is free to rotate, the magnetic forces on its poles make it settle in the north-south direction. The needle is not being pulled north by location alone. Instead, it is responding to the magnetic field at that point on Earth’s surface.",96,done,,,paste Claude explanation here
AI_E05_1,E05,Electricity & Magnetism,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A changing magnetic field induces current in a wire loop because changing magnetic fields create electric fields. This is described by Faraday’s law. When the magnetic field through a loop changes, the charges in the wire feel a force that makes them move, producing current. The faster the magnetic field changes, the greater the induced current. This principle is used in generators, transformers, and wireless charging. The key idea is that electricity and magnetism are linked. A steady magnetic field alone may do nothing, but a changing one can transfer energy and drive charge flow through the wire.",98,done,,,paste ChatGPT explanation here
AI_E05_2,E05,Electricity & Magnetism,AI,Claude,,Claude Sonnet 4.6,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","A changing magnetic field induces current in a wire loop because changing magnetic fields create electric fields. This is described by Faraday’s law. When the magnetic field through a loop changes, the charges in the wire feel a force that makes them move, producing current. The faster the magnetic field changes, the greater the induced current. This principle is used in generators, transformers, and wireless charging. The key idea is that electricity and magnetism are linked. A steady magnetic field alone may do nothing, but a changing one can transfer energy and drive charge flow through the wire.",98,done,,,paste Claude explanation here
AI_E06_1,E06,Electricity & Magnetism,AI,ChatGPT,,GPT-5.3 / ChatGPT latest,"Explain this physics concept to a first-year college student in 100 words. Be conceptually precise, pedagogically clear, and avoid unnecessary jargon. Include the relevant physical principle and a simple intuitive explanation if helpful.","Current is the same everywhere in a series circuit because there is only one path for charges to follow. Charge cannot pile up in one part of the circuit while disappearing in another. In a steady circuit, the same amount of charge that enters each component must leave it. If current were different at different points, charge would build up somewhere, which does not happen in normal operation. You can think of it like water flowing through a single pipe loop: the same amount of water passes every point each second. In a series circuit, all components share the same charge flow rate.",103,done,,,paste ChatGPT explanation here
