explanation_id,sentence_id,sentence_text,annotator,label,notes
H_M02_1,2,"A heavier object does experience a larger gravitational force, but it also has proportionally greater inertia.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M02_1,3,Newton’s second law says acceleration equals force divided by mass.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M02_1,4,"Since gravity provides a force equal to mass times g, the mass cancels out, leaving the same acceleration for all objects.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M02_1,5,This means a hammer and a feather would fall together in a vacuum.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M02_1,6,"The differences we see in everyday life come from air resistance, not from mass itself.",Annotator One,CAVEAT,QC_OK: CAVEAT label confirmed
AI_M02_1,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_M02_1,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,3,These two effects balance out.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,4,Newton’s second law says acceleration equals force divided by mass.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_1,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_M02_2,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,3,These two effects balance out.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,4,Newton’s second law says acceleration equals force divided by mass.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M02_2,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M03_1,1,"When a car suddenly accelerates forward, your body tends to remain at rest because of inertia.",Annotator One,FRAME,QC_OK: FRAME label confirmed
H_M03_1,2,Newton’s first law says an object will stay at rest or keep moving at constant velocity unless acted on by a net external force.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M03_1,3,"The seat pushes your body forward, but your body initially resists that change.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M03_1,4,This makes it feel as though you are being pushed backward into the seat.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_M03_1,5,"In reality, there is no backward force acting on you.",Annotator One,VERIFY,QC_OK: VERIFY label confirmed
H_M03_1,6,The sensation comes from your body resisting the forward acceleration and adjusting to the car’s new motion.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,1,"A passenger feels pushed backward when a car suddenly accelerates forward because of inertia, the tendency of objects to resist changes in motion.",Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_M03_1,2,"Before the car moves, both the passenger and the car are at rest.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,3,"When the car speeds up, the seat pushes the passenger forward to make them move with the car.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,4,But the passenger’s body initially wants to stay where it was.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,5,This makes it feel like they are being pushed backward into the seat.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_1,6,"In reality, the seat is pushing them forward.",Annotator One,VERIFY,QC_OK: VERIFY label confirmed
AI_M03_1,7,The backward feeling is just the sensation of their body resisting the car’s sudden change in speed.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,1,"A passenger feels pushed backward when a car suddenly accelerates forward because of inertia, the tendency of objects to resist changes in motion.",Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_M03_2,2,"Before the car moves, both the passenger and the car are at rest.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,3,"When the car speeds up, the seat pushes the passenger forward to make them move with the car.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,4,But the passenger’s body initially wants to stay where it was.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,5,This makes it feel like they are being pushed backward into the seat.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_M03_2,6,"In reality, the seat is pushing them forward.",Annotator One,VERIFY,QC_OK: VERIFY label confirmed
AI_M03_2,7,The backward feeling is just the sensation of their body resisting the car’s sudden change in speed.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_E01_1,1,Ohm’s law says current equals voltage divided by resistance.,Annotator One,FRAME,QC_OK: FRAME label confirmed
H_E01_1,2,"In a simple circuit with a fixed battery voltage, increasing resistance reduces current.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_E01_1,3,"Resistance makes it harder for electric charge to move through a material, so fewer charges pass a point each second.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_E01_1,4,You can think of it like water flowing through a pipe: narrowing the pipe makes it harder for water to flow.,Annotator One,INTUITION,QC_OK: INTUITION label confirmed
H_E01_1,5,A resistor does not block charge completely; it limits the flow and converts some electrical energy into heat or light.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_E01_1,6,This is why adding more resistance in series lowers the total current in the circuit.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,1,Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material.,Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_E01_1,2,"A battery provides a voltage, which acts like a push that drives charges.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,3,Current is the rate of charge flow.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,4,"According to Ohm’s law, current equals voltage divided by resistance.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,5,"If voltage stays the same and resistance increases, current must decrease.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,6,"Resistance causes charges to collide more often with atoms in the material, which slows their overall motion.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_1,7,"That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,1,Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material.,Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_E01_2,2,"A battery provides a voltage, which acts like a push that drives charges.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,3,Current is the rate of charge flow.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,4,"According to Ohm’s law, current equals voltage divided by resistance.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,5,"If voltage stays the same and resistance increases, current must decrease.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,6,"Resistance causes charges to collide more often with atoms in the material, which slows their overall motion.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_E01_2,7,"That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_T01_1,1,Work in physics is defined as force times displacement times the cosine of the angle between them.,Annotator One,FRAME,QC_OK: FRAME label confirmed
H_T01_1,2,Work measures how much a force transfers energy in the direction of motion.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_T01_1,3,"If the force is perpendicular to the displacement, the angle is 90 degrees and the cosine is zero.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_T01_1,4,"That means no energy is transferred in the direction the object moves, so the work is zero.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_T01_1,5,"For example, gravity does no work on a bag carried horizontally because gravity acts downward while the bag moves sideways.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
H_T01_1,6,A force can act on an object without doing work if it does not help move it along its path.,Annotator One,VERIFY,QC_OK: VERIFY label confirmed
AI_T01_1,1,Work is zero when force is perpendicular to displacement because work depends on the component of force in the direction of motion.,Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_T01_1,2,The formula for work is force times displacement times the cosine of the angle between them.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_T01_1,3,"If the force is perpendicular, the angle is 90 degrees, and cosine of 90 degrees is zero.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_T01_1,4,That means the force does not transfer energy into or out of the object’s motion along its path.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_T01_1,5,"For example, in uniform circular motion, the centripetal force points inward while motion is tangent to the circle, so the centripetal force does no work.",Annotator One,INTUITION,QC_OK: INTUITION label confirmed
AI_T01_2,1,Work is zero when force is perpendicular to displacement because work depends on the component of force in the direction of motion.,Annotator One,FRAME,QC_OK: FRAME label confirmed
AI_T01_2,2,The formula for work is force times displacement times the cosine of the angle between them.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_T01_2,3,"If the force is perpendicular, the angle is 90 degrees, and cosine of 90 degrees is zero.",Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_T01_2,4,That means the force does not transfer energy into or out of the object’s motion along its path.,Annotator One,PRINCIPLE_DERIVE,QC_OK: PRINCIPLE_DERIVE label confirmed
AI_T01_2,5,"For example, in uniform circular motion, the centripetal force points inward while motion is tangent to the circle, so the centripetal force does no work.",Annotator One,INTUITION,QC_OK: INTUITION label confirmed
H_M01_1,1,"Acceleration is defined as any change in velocity, and velocity includes both speed and direction.",Annotator Two,FRAME,T2 FRAMEvsPRINCIPLE: conceptual setup/definitions before reasoning
H_M01_1,2,"Even when an object moves in a circle at a constant speed, its direction changes continuously.",Annotator Two,PRINCIPLE_DERIVE,
H_M01_1,3,"At every point on the path, the velocity vector points in a new direction, tangent to the circle.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: intermediate reasoning step
H_M01_1,4,"Because the direction changes, the velocity changes, which means the object is accelerating.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: causal inference to acceleration
H_M01_1,5,This acceleration points inward toward the center of the circle and is called centripetal acceleration.,Annotator Two,PRINCIPLE_DERIVE,
H_M01_1,6,"By Newton’s second law, a net inward force must act to produce this acceleration, whether from tension, gravity, or friction.",Annotator Two,PRINCIPLE_DERIVE,
AI_M01_1,1,"An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction.",Annotator Two,FRAME,
AI_M01_1,2,"Even if the speed stays the same, the direction is constantly changing as the object moves around the circle.",Annotator Two,PRINCIPLE_DERIVE,
AI_M01_1,3,"At every instant, the object’s velocity points in a slightly new direction.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: step in directional-change reasoning chain
AI_M01_1,4,That change in direction requires an inward acceleration called centripetal acceleration.,Annotator Two,PRINCIPLE_DERIVE,
AI_M01_1,5,"Without it, the object would move in a straight line instead.",Annotator Two,VERIFY,
AI_M01_1,6,"For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",Annotator Two,INTUITION,T4 PRINCIPLEvsINTUITION: concrete everyday example for intuition
AI_M01_2,1,"An object moving in a circle accelerates because acceleration means any change in velocity, and velocity includes both speed and direction.",Annotator Two,FRAME,
AI_M01_2,2,"Even if the speed stays the same, the direction is constantly changing as the object moves around the circle.",Annotator Two,PRINCIPLE_DERIVE,
AI_M01_2,3,"At every instant, the object’s velocity points in a slightly new direction.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: step in directional-change reasoning chain
AI_M01_2,4,That change in direction requires an inward acceleration called centripetal acceleration.,Annotator Two,PRINCIPLE_DERIVE,
AI_M01_2,5,"Without it, the object would move in a straight line instead.",Annotator Two,VERIFY,
AI_M01_2,6,"For example, when a car turns, the tires provide the inward force needed to keep changing the car’s direction, which is why turning creates acceleration.",Annotator Two,INTUITION,T4 PRINCIPLEvsINTUITION: concrete everyday example for intuition
H_M02_1,1,"In free fall without air resistance, all objects accelerate downward at the same rate regardless of mass.",Annotator Two,FRAME,
H_M02_1,2,"A heavier object does experience a larger gravitational force, but it also has proportionally greater inertia.",Annotator Two,PRINCIPLE_DERIVE,
H_M02_1,3,Newton’s second law says acceleration equals force divided by mass.,Annotator Two,PRINCIPLE_DERIVE,
H_M02_1,4,"Since gravity provides a force equal to mass times g, the mass cancels out, leaving the same acceleration for all objects.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: mass-cancellation inferential step
H_M02_1,5,This means a hammer and a feather would fall together in a vacuum.,Annotator Two,VERIFY,T3 VERIFYvsCAVEAT: hammer-feather example checks conclusion
H_M02_1,6,"The differences we see in everyday life come from air resistance, not from mass itself.",Annotator Two,CAVEAT,
AI_M02_1,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",Annotator Two,FRAME,
AI_M02_1,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",Annotator Two,PRINCIPLE_DERIVE,
AI_M02_1,3,These two effects balance out.,Annotator Two,PRINCIPLE_DERIVE,
AI_M02_1,4,Newton’s second law says acceleration equals force divided by mass.,Annotator Two,PRINCIPLE_DERIVE,
AI_M02_1,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: algebraic cancellation as inferential step
AI_M02_1,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",Annotator Two,VERIFY,T3 VERIFYvsCAVEAT: vacuum example sanity-checks derived claim
AI_M02_2,1,"In the absence of air resistance, heavier and lighter objects fall at the same rate because gravity accelerates all masses equally.",Annotator Two,FRAME,
AI_M02_2,2,"A heavier object does feel a larger gravitational force, but it also has more inertia, meaning it resists changes in motion more.",Annotator Two,PRINCIPLE_DERIVE,
AI_M02_2,3,These two effects balance out.,Annotator Two,PRINCIPLE_DERIVE,
AI_M02_2,4,Newton’s second law says acceleration equals force divided by mass.,Annotator Two,PRINCIPLE_DERIVE,
AI_M02_2,5,"Since gravitational force is proportional to mass, the mass cancels out, leaving the same acceleration for all objects.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: algebraic cancellation as inferential step
AI_M02_2,6,"That is why, in a vacuum, a feather and a hammer dropped together fall side by side and hit the ground at the same time.",Annotator Two,VERIFY,T3 VERIFYvsCAVEAT: vacuum example sanity-checks derived claim
H_E01_1,1,Ohm’s law says current equals voltage divided by resistance.,Annotator Two,PRINCIPLE_DERIVE,T2 FRAMEvsPRINCIPLE: explicit law invocation is central
H_E01_1,2,"In a simple circuit with a fixed battery voltage, increasing resistance reduces current.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: applies fixed-voltage condition to infer trend
H_E01_1,3,"Resistance makes it harder for electric charge to move through a material, so fewer charges pass a point each second.",Annotator Two,PRINCIPLE_DERIVE,
H_E01_1,4,You can think of it like water flowing through a pipe: narrowing the pipe makes it harder for water to flow.,Annotator Two,INTUITION,
H_E01_1,5,A resistor does not block charge completely; it limits the flow and converts some electrical energy into heat or light.,Annotator Two,CAVEAT,T3 VERIFYvsCAVEAT: qualifies misconception with limitation nuance
H_E01_1,6,This is why adding more resistance in series lowers the total current in the circuit.,Annotator Two,PRINCIPLE_DERIVE,
AI_E01_1,1,Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material.,Annotator Two,FRAME,
AI_E01_1,2,"A battery provides a voltage, which acts like a push that drives charges.",Annotator Two,INTUITION,"T4 PRINCIPLEvsINTUITION: uses analogy cue ""acts like"""
AI_E01_1,3,Current is the rate of charge flow.,Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: conceptual definition
AI_E01_1,4,"According to Ohm’s law, current equals voltage divided by resistance.",Annotator Two,PRINCIPLE_DERIVE,
AI_E01_1,5,"If voltage stays the same and resistance increases, current must decrease.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: conditional inference from fixed-voltage setup
AI_E01_1,6,"Resistance causes charges to collide more often with atoms in the material, which slows their overall motion.",Annotator Two,PRINCIPLE_DERIVE,
AI_E01_1,7,"That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",Annotator Two,PRINCIPLE_DERIVE,
AI_E01_2,1,Adding resistance reduces current in a simple circuit because resistance makes it harder for electric charges to move through the material.,Annotator Two,FRAME,
AI_E01_2,2,"A battery provides a voltage, which acts like a push that drives charges.",Annotator Two,INTUITION,"T4 PRINCIPLEvsINTUITION: uses analogy cue ""acts like"""
AI_E01_2,3,Current is the rate of charge flow.,Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: conceptual definition
AI_E01_2,4,"According to Ohm’s law, current equals voltage divided by resistance.",Annotator Two,PRINCIPLE_DERIVE,
AI_E01_2,5,"If voltage stays the same and resistance increases, current must decrease.",Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: conditional inference from fixed-voltage setup
AI_E01_2,6,"Resistance causes charges to collide more often with atoms in the material, which slows their overall motion.",Annotator Two,PRINCIPLE_DERIVE,
AI_E01_2,7,"That is why adding a resistor, longer wire, or thinner wire reduces the amount of current flowing in the circuit.",Annotator Two,PRINCIPLE_DERIVE,
H_T01_1,1,Work in physics is defined as force times displacement times the cosine of the angle between them.,Annotator Two,PRINCIPLE_DERIVE,T2 FRAMEvsPRINCIPLE: defining equation is governing principle
H_T01_1,2,Work measures how much a force transfers energy in the direction of motion.,Annotator Two,FRAME,T2 FRAMEvsPRINCIPLE: conceptual framing of what work measures
H_T01_1,3,"If the force is perpendicular to the displacement, the angle is 90 degrees and the cosine is zero.",Annotator Two,PRINCIPLE_DERIVE,
H_T01_1,4,"That means no energy is transferred in the direction the object moves, so the work is zero.",Annotator Two,PRINCIPLE_DERIVE,
H_T01_1,5,"For example, gravity does no work on a bag carried horizontally because gravity acts downward while the bag moves sideways.",Annotator Two,INTUITION,T4 PRINCIPLEvsINTUITION: concrete illustrative example
H_T01_1,6,A force can act on an object without doing work if it does not help move it along its path.,Annotator Two,VERIFY,
AI_T01_1,1,Work is zero when force is perpendicular to displacement because work depends on the component of force in the direction of motion.,Annotator Two,FRAME,
AI_T01_1,2,The formula for work is force times displacement times the cosine of the angle between them.,Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: explicit formula statement
AI_T01_1,3,"If the force is perpendicular, the angle is 90 degrees, and cosine of 90 degrees is zero.",Annotator Two,PRINCIPLE_DERIVE,
AI_T01_1,4,That means the force does not transfer energy into or out of the object’s motion along its path.,Annotator Two,PRINCIPLE_DERIVE,
AI_T01_1,5,"For example, in uniform circular motion, the centripetal force points inward while motion is tangent to the circle, so the centripetal force does no work.",Annotator Two,INTUITION,
AI_T01_2,1,Work is zero when force is perpendicular to displacement because work depends on the component of force in the direction of motion.,Annotator Two,FRAME,
AI_T01_2,2,The formula for work is force times displacement times the cosine of the angle between them.,Annotator Two,PRINCIPLE_DERIVE,T1 PRINCIPLEvsDERIVE: explicit formula statement
AI_T01_2,3,"If the force is perpendicular, the angle is 90 degrees, and cosine of 90 degrees is zero.",Annotator Two,PRINCIPLE_DERIVE,
AI_T01_2,4,That means the force does not transfer energy into or out of the object’s motion along its path.,Annotator Two,PRINCIPLE_DERIVE,
AI_T01_2,5,"For example, in uniform circular motion, the centripetal force points inward while motion is tangent to the circle, so the centripetal force does no work.",Annotator Two,INTUITION,
H_M04_1,1,A seatbelt reduces injury because it increases the time over which your momentum changes during a sudden stop.,Annotator One,FRAME,Step4 full-pass (5-label schema)
H_M04_1,2,The impulse-momentum theorem says that force times time equals the change in momentum.,Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M04_1,3,"In a crash, your body must go from moving at car speed to rest either way.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M04_1,4,"If that happens in a very short time, the force is extremely large.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M04_1,5,"A seatbelt stretches slightly and spreads the stopping process over a longer time, reducing the peak force on your body.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M04_1,6,"It also keeps you from hitting the dashboard or windshield, which greatly lowers injury risk.",Annotator One,VERIFY,Step4 full-pass (5-label schema)
H_M05_1,1,A truck is harder to stop than a bicycle moving at the same speed because the truck has much more momentum.,Annotator One,FRAME,Step4 full-pass (5-label schema)
H_M05_1,2,"Momentum equals mass times velocity, so even at the same speed, the truck’s much larger mass gives it far greater momentum.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M05_1,3,"To stop a moving object, you must reduce its momentum to zero, which requires an impulse.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M05_1,4,"A larger momentum means you need more force, more time, or both to stop it.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M05_1,5,This is why trucks need stronger brakes and longer stopping distances.,Annotator One,VERIFY,Step4 full-pass (5-label schema)
H_M05_1,6,"Greater mass also means greater inertia, which makes the truck resist changes in motion more strongly.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M06_1,1,A person standing still on ice still exerts a force on the surface because forces always come in pairs.,Annotator One,FRAME,Step4 full-pass (5-label schema)
H_M06_1,2,"Your weight pulls downward due to gravity, so you push down on the ice.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M06_1,3,"According to Newton’s third law, the ice pushes upward on you with an equal and opposite normal force.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M06_1,4,"These two forces do not cancel because they act on different objects: one acts on you, and one acts on the ice.",Annotator One,CAVEAT,Step4 full-pass (5-label schema)
H_M06_1,5,"Even when you are standing still, you are continuously exerting force downward on the surface beneath you simply by making contact with it.",Annotator One,PRINCIPLE_DERIVE,Step4 full-pass (5-label schema)
H_M07_1,1,Friction does not always oppose motion itself; it opposes relative slipping between surfaces.,Annotator One,FRAME,Step4 full-pass (5-label schema)
